MeastID,Ply,Course,U-Roller,U-Sensor,U-TowChangeProgramed,TowPresentBitmap,GapPresentBitmap,ProfileID,Notes,X,Y,Z,C,n1,n2,n3,j1,j2,j3,j4,j5,j6
136,3,26,5.919304,4.481,0,16776960,16776704,283791,,6.434,-21.972,119.886,0,1,0,0,0,0,0,0,0,0
137,3,26,5.982904,4.545,0,16776960,16776704,283792,,6.434,-21.972,119.822,0,1,0,0,0,0,0,0,0,0
138,3,26,6.0466,4.608,0,16776960,16776704,283793,,6.433,-21.973,119.759,0,1,0,0,0,0,0,0,0,0
139,3,26,6.110104,4.672,0,16776960,16776704,283794,,6.433,-21.973,119.696,0,1,0,0,0,0,0,0,0,0
140,3,26,6.1736,4.736,0,16776960,16776704,283795,,6.433,-21.973,119.632,0,1,0,0,0,0,0,0,0,0
141,3,26,6.237344,4.799,0,16776960,16776704,283796,,6.433,-21.973,119.569,0,1,0,0,0,0,0,0,0,0
142,3,26,6.301424,4.863,0,16776960,16776704,283797,,6.433,-21.973,119.505,0,1,0,0,0,0,0,0,0,0
143,3,26,6.365096,4.926,0,16776960,16776704,283798,,6.433,-21.973,119.442,0,1,0,0,0,0,0,0,0,0
144,3,26,6.428712,4.99,0,16776960,16776704,283799,,6.433,-21.973,119.378,0,1,0,0,0,0,0,0,0,0
145,3,26,6.492176,5.053,5,0,0,283800,,6.433,-21.973,119.315,0,1,0,0,0,0,0,0,0,0
146,3,26,6.555696,5.117,5,0,0,283801,,6.433,-21.973,119.251,0,1,0,0,0,0,0,0,0,0
147,3,26,6.619216,5.181,5,0,0,283802,,6.433,-21.973,119.187,0,1,0,0,0,0,0,0,0,0
148,3,26,6.682776,5.244,5,0,0,283803,,6.433,-21.973,119.124,0,1,0,0,0,0,0,0,0,0
149,3,26,6.746304,5.308,5,0,0,283804,,6.433,-21.973,119.06,0,1,0,0,0,0,0,0,0,0
150,3,26,6.809896,5.372,5,0,0,283805,,6.433,-21.973,118.996,0,1,0,0,0,0,0,0,0,0
151,3,26,6.8736,5.435,5,0,0,283806,,6.433,-21.973,118.933,0,1,0,0,0,0,0,0,0,0
152,3,26,6.93712,5.499,5,0,0,283807,,6.433,-21.973,118.868,0,1,0,0,0,0,0,0,0,0
153,3,26,7.001128,5.563,5,0,0,283808,,6.433,-21.973,118.804,0,1,0,0,0,0,0,0,0,0
154,3,26,7.064976,5.627,5,0,0,283809,,6.433,-21.973,118.74,0,1,0,0,0,0,0,0,0,0
155,3,26,7.128376,5.69,5,0,0,283810,,6.433,-21.973,118.677,0,1,0,0,0,0,0,0,0,0
156,3,26,7.191904,5.753,5,0,0,283811,,6.433,-21.973,118.614,0,1,0,0,0,0,0,0,0,0
157,3,26,7.255424,5.816,5,0,0,283812,,6.433,-21.973,118.551,0,1,0,0,0,0,0,0,0,0
158,3,26,7.31904,5.88,5,0,0,283813,,6.433,-21.973,118.487,0,1,0,0,0,0,0,0,0,0
159,3,26,7.38256,5.944,5,0,0,283814,,6.433,-21.973,118.422,0,1,0,0,0,0,0,0,0,0
160,3,26,7.446104,6.007,5,0,0,283815,,6.433,-21.973,118.359,0,1,0,0,0,0,0,0,0,0
161,3,26,7.5098,6.071,5,0,0,283816,,6.433,-21.973,118.296,0,1,0,0,0,0,0,0,0,0
162,3,26,7.57332,6.134,5,0,0,283817,,6.433,-21.974,118.233,0,1,0,0,0,0,0,0,0,0
163,3,26,7.63724,6.198,5,0,0,283818,,6.433,-21.974,118.169,0,1,0,0,0,0,0,0,0,0
164,3,26,7.701056,6.262,5,0,0,283819,,6.433,-21.974,118.105,0,1,0,0,0,0,0,0,0,0
165,3,26,7.764368,6.325,5,0,0,283820,,6.433,-21.975,118.042,0,1,0,0,0,0,0,0,0,0
166,3,26,7.827808,6.389,5,0,0,283821,,6.433,-21.975,117.979,0,1,0,0,0,0,0,0,0,0
167,3,26,7.891776,6.454,5,0,0,283822,,6.433,-21.975,117.914,0,1,0,0,0,0,0,0,0,0
168,3,26,7.95544,6.517,5,0,0,283823,,6.433,-21.975,117.851,0,1,0,0,0,0,0,0,0,0
169,3,26,8.0188,6.581,5,0,0,283824,,6.433,-21.975,117.787,0,1,0,0,0,0,0,0,0,0
170,3,26,8.08228,6.644,5,0,0,283825,,6.433,-21.975,117.724,0,1,0,0,0,0,0,0,0,0
171,3,26,8.146456,6.708,5,0,0,283826,,6.433,-21.975,117.66,0,1,0,0,0,0,0,0,0,0
172,3,26,8.209808,6.772,5,0,0,283827,,6.433,-21.974,117.596,0,1,0,0,0,0,0,0,0,0
173,3,26,8.273616,6.836,5,0,0,283828,,6.433,-21.974,117.532,0,1,0,0,0,0,0,0,0,0
174,3,26,8.337504,6.899,5,0,0,283829,,6.433,-21.974,117.469,0,1,0,0,0,0,0,0,0,0
175,3,26,8.400864,6.962,5,0,0,283830,,6.433,-21.975,117.406,0,1,0,0,0,0,0,0,0,0
176,3,26,8.464232,7.025,7,16776960,16776704,283831,,6.433,-21.975,117.343,0,1,0,0,0,0,0,0,0,0
177,3,26,8.528224,7.089,7,16776960,16776704,283832,,6.433,-21.976,117.279,0,1,0,0,0,0,0,0,0,0
178,3,26,8.591904,7.153,7,16776960,16776704,283833,,6.433,-21.976,117.215,0,1,0,0,0,0,0,0,0,0
179,3,26,8.655216,7.216,7,16776960,16776704,283834,,6.433,-21.976,117.152,0,1,0,0,0,0,0,0,0,0
180,3,26,8.718648,7.28,7,16776960,16776704,283835,,6.433,-21.976,117.088,0,1,0,0,0,0,0,0,0,0
181,3,26,8.782832,7.344,7,16776960,16776704,283836,,6.433,-21.976,117.024,0,1,0,0,0,0,0,0,0,0
182,3,26,8.846232,7.407,7,16776960,16776704,283837,,6.433,-21.976,116.961,0,1,0,0,0,0,0,0,0,0
183,3,26,8.90956,7.471,7,16776960,16776704,283838,,6.433,-21.975,116.897,0,1,0,0,0,0,0,0,0,0
184,3,26,8.973256,7.534,7,16776960,16776704,283839,,6.433,-21.975,116.834,0,1,0,0,0,0,0,0,0,0
185,3,26,9.03728,7.598,7,16776960,16776704,283840,,6.433,-21.975,116.77,0,1,0,0,0,0,0,0,0,0
186,3,26,9.10064,7.662,7,16776960,16776704,283841,,6.433,-21.976,116.706,0,1,0,0,0,0,0,0,0,0
187,3,26,9.164008,7.725,7,16776960,16776704,283842,,6.433,-21.976,116.643,0,1,0,0,0,0,0,0,0,0
188,3,26,9.227872,7.789,7,16776960,16776704,283843,,6.433,-21.976,116.579,0,1,0,0,0,0,0,0,0,0
189,3,26,9.291728,7.853,7,16776960,16776704,283844,,6.433,-21.977,116.515,0,1,0,0,0,0,0,0,0,0
190,3,26,9.35512,7.916,7,16776960,16776704,283845,,6.433,-21.977,116.452,0,1,0,0,0,0,0,0,0,0
191,3,26,9.419224,7.981,7,16776960,16776704,283846,,6.433,-21.977,116.387,0,1,0,0,0,0,0,0,0,0
192,3,26,9.482648,8.044,7,16776960,16776704,283847,,6.433,-21.977,116.323,0,1,0,0,0,0,0,0,0,0
193,3,26,9.545976,8.108,7,16776960,16776704,283848,,6.433,-21.977,116.259,0,1,0,0,0,0,0,0,0,0
194,3,26,9.609632,8.171,7,16776960,16776704,283849,,6.433,-21.977,116.196,0,1,0,0,0,0,0,0,0,0
195,3,26,9.673696,8.236,7,16776960,16776704,283850,,6.433,-21.977,116.131,0,1,0,0,0,0,0,0,0,0
196,3,26,9.737056,8.299,7,16776960,16776704,283851,,6.433,-21.977,116.068,0,1,0,0,0,0,0,0,0,0
197,3,26,9.800416,8.362,7,16776960,16776704,283852,,6.433,-21.977,116.005,0,1,0,0,0,0,0,0,0,0
198,3,26,9.8642,8.426,7,16776960,16776704,283853,,6.433,-21.977,115.942,0,1,0,0,0,0,0,0,0,0
199,3,26,9.92804,8.49,7,16776960,16776704,283854,,6.433,-21.977,115.878,0,1,0,0,0,0,0,0,0,0
200,3,26,9.9914,8.553,7,16776960,16776704,283855,,6.433,-21.977,115.816,0,1,0,0,0,0,0,0,0,0
201,3,26,10.055496,8.617,7,16776960,16776704,283856,,6.433,-21.977,115.752,0,1,0,0,0,0,0,0,0,0
202,3,26,10.118904,8.681,7,16776960,16776704,283857,,6.433,-21.977,115.688,0,1,0,0,0,0,0,0,0,0
203,3,26,10.182184,8.744,7,16776960,16776704,283858,,6.433,-21.977,115.625,0,1,0,0,0,0,0,0,0,0
204,3,26,10.245768,8.808,7,16776960,16776704,283859,,6.433,-21.977,115.561,0,1,0,0,0,0,0,0,0,0
205,3,26,10.309688,8.872,7,16776960,16776704,283860,,6.433,-21.977,115.497,0,1,0,0,0,0,0,0,0,0
206,3,26,10.373072,8.935,7,16776960,16776704,283861,,6.433,-21.977,115.434,0,1,0,0,0,0,0,0,0,0
207,3,26,10.436984,8.999,7,16776960,16776704,283862,,6.433,-21.978,115.369,0,1,0,0,0,0,0,0,0,0
208,3,26,10.500624,9.062,7,16776960,16776704,283863,,6.433,-21.978,115.306,0,1,0,0,0,0,0,0,0,0
209,3,26,10.563976,9.126,7,16776960,16776704,283864,,6.433,-21.978,115.242,0,1,0,0,0,0,0,0,0,0
210,3,26,10.628072,9.19,7,16776960,16776704,283865,,6.433,-21.978,115.178,0,1,0,0,0,0,0,0,0,0
211,3,26,10.691328,9.253,7,16776960,16776704,283866,,6.433,-21.978,115.115,0,1,0,0,0,0,0,0,0,0
212,3,26,10.75496,9.317,7,16776960,16776704,283867,,6.433,-21.978,115.051,0,1,0,0,0,0,0,0,0,0
213,3,26,10.818568,9.38,7,16776960,16776704,283868,,6.433,-21.978,114.988,0,1,0,0,0,0,0,0,0,0
214,3,26,10.882048,9.443,7,16776960,16776704,283869,,6.433,-21.978,114.925,0,1,0,0,0,0,0,0,0,0
215,3,26,10.945968,9.507,7,16776960,16776704,283870,,6.433,-21.978,114.861,0,1,0,0,0,0,0,0,0,0
216,3,26,11.009312,9.571,7,16776960,16776704,283871,,6.433,-21.979,114.797,0,1,0,0,0,0,0,0,0,0
217,3,26,11.073104,9.634,7,16776960,16776704,283872,,6.433,-21.979,114.734,0,1,0,0,0,0,0,0,0,0
218,3,26,11.137024,9.698,7,16776960,16776704,283873,,6.433,-21.979,114.67,0,1,0,0,0,0,0,0,0,0
219,3,26,11.200848,9.762,7,16776960,16776704,283874,,6.433,-21.979,114.606,0,1,0,0,0,0,0,0,0,0
